============================================================
### UCI-HAR   (seed = 100)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 0 ---
  0       ERM      91.91     93.01     92.99   
  0       T3A      92.88     91.86     91.75   
  0       OFTTA    91.02     92.60     91.13   
  0       PL       89.48     87.09     88.30   
  0       TENT     87.63     87.76     87.64   
  0       LAME     92.84     92.75     92.84   
  0       SHOT     88.11     87.80     89.51   
  0       TSD      87.93     87.08     87.83   
  0       TAST     90.19     91.13     90.89   
  0       TEA      89.20     87.95     87.66   
  0       NOTE     89.69     87.90     88.02   
  0       SOTTA    87.47     89.30     88.00   
  0       DSOM     92.98     91.29     91.98   
  0       SAR      88.14     87.79     89.57   
  0       EATA     89.68     86.90     87.59   
  0       RoTTA    88.45     89.17     87.88   
  0       CoTTA    88.62     88.75     88.44   
--- domain 1 ---
  1       ERM      74.26     75.35     75.46   
  1       T3A      78.73     77.63     77.70   
  1       OFTTA    75.11     76.64     75.34   
  1       PL       76.36     73.81     75.26   
  1       TENT     74.35     74.35     74.52   
  1       LAME     76.52     76.28     76.62   
  1       SHOT     74.91     74.48     76.42   
  1       TSD      74.81     73.84     74.82   
  1       TAST     78.18     79.08     78.99   
  1       TEA      75.92     74.55     74.47   
  1       NOTE     76.06     74.17     74.50   
  1       SOTTA    74.35     76.03     74.96   
  1       DSOM     81.08     79.18     80.19   
  1       SAR      74.77     74.31     76.26   
  1       EATA     76.56     73.60     74.52   
  1       RoTTA    75.33     75.89     74.85   
  1       CoTTA    75.50     75.46     75.40   
--- domain 2 ---
  2       ERM      92.83     94.17     93.88   
  2       T3A      94.80     94.02     93.63   
  2       OFTTA    93.08     94.89     93.16   
  2       PL       94.78     92.54     93.54   
  2       TENT     92.92     93.20     92.92   
  2       LAME     94.50     94.57     94.47   
  2       SHOT     93.33     93.17     94.67   
  2       TSD      93.23     92.55     93.06   
  2       TAST     92.18     93.36     92.84   
  2       TEA      94.34     93.23     92.75   
  2       NOTE     94.74     93.09     93.04   
  2       SOTTA    92.77     94.73     93.22   
  2       DSOM     94.72     93.17     93.68   
  2       SAR      93.35     93.15     94.70   
  2       EATA     94.98     92.33     92.81   
  2       RoTTA    93.75     94.59     93.11   
  2       CoTTA    93.92     94.19     93.68   
--- domain 3 ---
  3       ERM      79.66     80.64     80.86   
  3       T3A      80.94     79.80     79.94   
  3       OFTTA    82.15     83.60     82.36   
  3       PL       84.08     81.49     82.98   
  3       TENT     82.08     82.02     82.21   
  3       LAME     74.72     74.45     74.82   
  3       SHOT     82.63     82.09     84.13   
  3       TSD      82.53     81.47     82.52   
  3       TAST     78.57     79.36     79.40   
  3       TEA      83.64     82.18     82.22   
  3       NOTE     84.16     82.16     82.60   
  3       SOTTA    82.07     83.66     82.68   
  3       DSOM     83.63     81.71     82.73   
  3       SAR      82.43     81.88     83.94   
  3       EATA     84.28     81.26     82.25   
  3       RoTTA    83.05     83.53     82.57   
  3       CoTTA    83.23     83.16     83.17   
--- domain 4 ---
  4       ERM      77.04     78.01     78.22   
  4       T3A      87.52     86.35     86.50   
  4       OFTTA    84.63     86.04     84.86   
  4       PL       81.29     78.65     80.20   
  4       TENT     79.19     79.09     79.34   
  4       LAME     80.42     80.12     80.53   
  4       SHOT     79.84     79.30     81.33   
  4       TSD      79.74     78.67     79.76   
  4       TAST     85.21     86.04     86.01   
  4       TEA      80.61     79.14     79.17   
  4       NOTE     80.76     78.77     79.22   
  4       SOTTA    79.28     80.86     79.90   
  4       DSOM     86.85     84.96     85.96   
  4       SAR      79.67     79.09     81.18   
  4       EATA     81.49     78.45     79.46   
  4       RoTTA    80.26     80.72     79.79   
  4       CoTTA    79.91     79.85     79.83   
--- domain AVG ---
  AVG     ERM      83.14     84.24     84.28   
  AVG     T3A      86.97     85.93     85.90   
  AVG     OFTTA    85.20     86.75     85.37   
  AVG     PL       85.20     82.72     84.06   
  AVG     TENT     83.23     83.28     83.33   
  AVG     LAME     83.80     83.63     83.86   
  AVG     SHOT     83.76     83.37     85.21   
  AVG     TSD      83.65     82.72     83.60   
  AVG     TAST     84.87     85.79     85.63   
  AVG     TEA      84.74     83.41     83.25   
  AVG     NOTE     85.08     83.22     83.48   
  AVG     SOTTA    83.19     84.92     83.75   
  AVG     DSOM     87.85     86.06     86.91   
  AVG     SAR      83.67     83.24     85.13   
